tenure_months,monthly_charges,total_charges,support_tickets,late_payments,contract_type,internet_service,paperless_billing,churn
33,94.98,3109.71,1,2,Month-to-month,Fiber,Yes,1
65,72.44,4818.1,2,1,Month-to-month,DSL,No,0
49,89.89,4365.53,0,1,Month-to-month,DSL,Yes,1
57,58.82,3443.09,3,0,Two year,Fiber,Yes,0
55,68.76,3757.02,3,2,Two year,DSL,No,0
15,67.11,1052.82,3,0,One year,DSL,No,1
27,49.1,1564.68,0,0,Two year,None,Yes,0
34,86.55,3037.95,1,3,Two year,DSL,No,0
36,86.26,3152.91,1,1,Month-to-month,Fiber,Yes,1
4,84.84,261.89,1,1,Month-to-month,Fiber,No,1
40,108.42,4355.79,0,0,Month-to-month,Fiber,Yes,1
12,106.23,1174.0,0,0,Month-to-month,DSL,No,1
54,60.63,3362.52,0,2,One year,Fiber,Yes,1
50,79.33,4052.5,1,0,Month-to-month,Fiber,No,1
67,54.41,3627.51,1,1,Two year,Fiber,No,0
54,70.58,3977.88,0,0,One year,Fiber,No,0
27,55.01,1637.46,2,4,Month-to-month,None,No,1
70,110.5,7750.09,3,0,Two year,DSL,Yes,0
30,79.09,2429.32,3,0,Two year,DSL,Yes,1
24,64.55,1490.34,1,2,One year,Fiber,Yes,0
66,99.84,6562.25,0,0,One year,Fiber,Yes,0
27,20.0,432.2,1,0,Two year,Fiber,No,0
6,20.0,72.17,1,0,One year,DSL,No,0
34,89.9,3046.02,1,1,Two year,DSL,Yes,0
58,71.51,3981.64,1,0,Month-to-month,Fiber,Yes,0
14,76.26,1125.34,1,2,One year,None,No,0
34,36.84,1354.78,1,0,Month-to-month,DSL,Yes,1
10,69.42,693.4,0,0,Month-to-month,Fiber,Yes,0
50,120.09,5734.66,0,0,Month-to-month,Fiber,Yes,0
35,90.6,3145.88,0,0,Month-to-month,DSL,Yes,1
24,74.24,1642.49,0,0,Month-to-month,Fiber,No,0
17,59.02,942.44,2,0,Month-to-month,DSL,Yes,1
41,60.14,2610.76,2,0,Month-to-month,Fiber,Yes,1
49,20.0,736.55,1,0,Two year,DSL,Yes,0
68,76.44,5116.35,0,1,One year,Fiber,Yes,0
32,91.14,2999.34,4,0,One year,DSL,Yes,0
12,30.61,297.12,0,1,Month-to-month,Fiber,Yes,1
60,53.46,3130.03,1,1,Two year,None,No,0
46,41.06,2092.16,0,1,Month-to-month,Fiber,No,0
51,45.87,2377.02,0,2,Month-to-month,Fiber,Yes,1
8,71.34,664.13,1,0,Month-to-month,None,Yes,1
23,20.0,509.47,0,0,Two year,DSL,No,0
56,85.36,4796.15,2,1,Two year,Fiber,Yes,0
60,88.85,5457.19,1,0,One year,Fiber,Yes,0
32,63.72,2229.65,0,2,One year,Fiber,Yes,1
58,20.0,991.65,1,0,Month-to-month,DSL,Yes,0
61,45.09,2746.93,0,0,One year,DSL,No,0
28,100.82,2818.71,1,1,Month-to-month,DSL,Yes,0
65,20.0,1257.07,0,1,Month-to-month,DSL,No,0
21,61.31,1385.66,1,0,Two year,DSL,No,0
18,40.5,754.69,2,0,Two year,None,No,0
50,90.11,4698.26,1,0,Month-to-month,DSL,No,0
46,53.12,2553.65,1,1,Month-to-month,DSL,No,0
11,80.1,1017.56,0,0,Month-to-month,DSL,Yes,1
60,84.14,4928.27,3,1,Month-to-month,Fiber,No,1
15,115.91,1657.98,2,1,Month-to-month,Fiber,Yes,1
58,64.93,3693.37,2,1,One year,DSL,No,0
1,79.4,211.71,2,4,Month-to-month,Fiber,Yes,1
58,32.87,1809.95,1,1,Month-to-month,Fiber,Yes,0
57,99.76,5592.55,3,1,Month-to-month,DSL,Yes,1
57,50.99,2794.14,1,0,One year,Fiber,Yes,0
48,55.98,2962.4,2,1,Month-to-month,Fiber,Yes,0
34,69.44,2346.87,1,1,Month-to-month,Fiber,Yes,1
51,30.93,1630.31,3,2,One year,None,Yes,0
20,75.72,1400.32,2,0,One year,Fiber,Yes,1
57,94.19,5464.57,3,0,Month-to-month,Fiber,Yes,1
41,77.32,2992.89,3,0,One year,Fiber,Yes,1
34,30.28,931.54,1,0,Month-to-month,DSL,Yes,0
37,66.9,2402.34,1,1,One year,Fiber,Yes,0
41,88.55,3652.47,2,0,Month-to-month,Fiber,Yes,1
3,23.05,0.0,2,0,Two year,DSL,Yes,0
11,43.13,626.84,0,1,Two year,None,No,0
18,91.91,1704.77,0,0,One year,Fiber,Yes,0
9,76.75,621.81,2,1,Two year,DSL,Yes,0
32,80.3,2669.34,0,1,Month-to-month,Fiber,Yes,0
49,116.49,5668.55,1,1,One year,Fiber,No,0
48,81.71,3863.22,1,2,Month-to-month,DSL,Yes,0
34,86.45,3028.79,1,0,Month-to-month,Fiber,Yes,1
62,130.0,7814.72,3,1,Month-to-month,Fiber,Yes,0
41,64.65,2724.33,0,1,One year,None,Yes,0
6,50.05,229.01,0,0,One year,DSL,Yes,0
56,80.69,4447.45,2,0,Two year,Fiber,No,0
42,80.97,3596.75,0,0,One year,Fiber,No,1
46,56.83,2561.16,1,0,Two year,None,Yes,1
41,44.19,1907.38,3,0,Two year,DSL,Yes,0
40,127.75,5137.77,2,0,Two year,Fiber,Yes,0
7,78.17,585.5,1,1,Month-to-month,Fiber,No,1
41,51.69,2094.35,4,1,Month-to-month,DSL,No,0
58,92.9,5357.83,4,0,One year,Fiber,Yes,1
22,67.27,1632.77,2,0,Two year,Fiber,Yes,1
44,63.68,2894.88,4,2,Month-to-month,Fiber,Yes,0
3,84.06,202.2,1,2,Month-to-month,Fiber,No,1
26,37.7,875.69,2,2,Month-to-month,DSL,Yes,1
32,78.82,2463.65,3,0,Month-to-month,Fiber,Yes,1
71,117.82,8463.64,2,0,Two year,DSL,Yes,0
16,81.65,1424.34,4,1,Month-to-month,Fiber,Yes,1
20,60.59,1267.39,1,0,Month-to-month,Fiber,No,1
30,57.32,1557.99,1,0,One year,DSL,Yes,0
72,59.74,4376.77,1,1,Month-to-month,None,Yes,0
62,63.65,4076.72,2,1,Month-to-month,Fiber,No,0
3,60.55,199.02,1,0,One year,DSL,Yes,0
17,92.91,1777.41,1,0,Month-to-month,DSL,No,1
60,26.67,1468.09,1,0,Two year,Fiber,No,0
5,91.55,526.23,1,0,One year,None,Yes,1
62,60.51,3649.46,1,0,Two year,DSL,Yes,0
21,79.42,1773.75,1,0,Month-to-month,None,Yes,0
67,41.83,2863.58,2,0,One year,DSL,No,1
22,103.22,2450.88,1,1,One year,Fiber,No,1
32,101.14,3286.48,1,0,One year,Fiber,Yes,0
48,93.99,4471.11,4,0,Month-to-month,DSL,No,1
10,32.13,272.2,4,4,Month-to-month,None,No,1
41,90.73,3694.83,2,1,Month-to-month,DSL,No,1
37,80.12,2913.42,4,1,Two year,None,Yes,1
57,29.87,1837.2,0,0,Two year,DSL,Yes,0
72,69.39,5123.83,0,3,Month-to-month,DSL,No,1
48,79.11,3647.78,1,0,One year,None,No,0
30,83.9,2520.89,3,0,One year,Fiber,No,1
30,74.43,2239.2,1,0,One year,DSL,No,0
31,77.28,2317.57,1,1,Month-to-month,Fiber,Yes,1
59,106.84,6347.4,0,1,Two year,DSL,No,0
24,100.65,2561.71,0,2,One year,Fiber,Yes,1
13,20.0,349.18,1,0,One year,DSL,Yes,1
25,62.06,1686.31,3,0,One year,Fiber,Yes,1
2,65.88,59.92,0,0,One year,DSL,Yes,0
8,26.2,213.23,1,1,Month-to-month,Fiber,Yes,1
7,72.35,429.92,2,0,Two year,None,No,0
56,101.22,5692.2,0,3,Month-to-month,Fiber,No,1
53,42.84,2303.24,1,1,Two year,Fiber,Yes,0
51,78.41,4094.89,1,0,Two year,DSL,Yes,0
34,47.1,1732.9,2,2,One year,DSL,Yes,1
52,53.2,2835.41,0,0,One year,Fiber,Yes,1
12,106.93,1197.2,1,0,Month-to-month,DSL,Yes,1
65,56.44,3533.13,0,2,Month-to-month,Fiber,Yes,1
37,81.56,3069.55,2,0,One year,Fiber,No,0
68,23.22,1728.98,1,2,Month-to-month,None,Yes,0
11,116.56,1279.66,1,2,Month-to-month,Fiber,No,1
36,85.07,2909.65,2,1,Two year,Fiber,No,1
51,65.44,3545.79,0,2,Month-to-month,None,Yes,1
36,84.39,3086.93,2,1,Month-to-month,None,Yes,1
33,34.75,1164.01,3,1,Month-to-month,Fiber,Yes,1
12,99.56,1077.96,2,0,One year,Fiber,Yes,1
28,61.9,1734.83,1,1,Month-to-month,Fiber,No,1
18,64.9,1236.86,0,3,One year,Fiber,Yes,1
22,57.71,1319.89,2,2,Month-to-month,DSL,Yes,0
50,55.48,2706.2,0,1,Month-to-month,Fiber,Yes,1
46,87.37,4013.16,2,0,Month-to-month,Fiber,Yes,1
44,76.4,3299.9,0,1,Month-to-month,DSL,No,1
27,86.29,2496.35,2,0,Two year,DSL,Yes,0
70,69.78,4974.1,3,0,Month-to-month,Fiber,No,1
7,82.83,527.38,2,0,Month-to-month,DSL,Yes,0
25,59.53,1371.37,5,0,Month-to-month,Fiber,Yes,1
9,125.74,1159.47,1,1,Month-to-month,Fiber,Yes,1
25,30.8,720.76,0,2,Month-to-month,Fiber,No,0
70,101.52,7064.81,2,0,Month-to-month,DSL,Yes,1
27,104.2,2699.82,1,3,Two year,Fiber,No,0
66,48.7,3112.8,1,3,Month-to-month,Fiber,Yes,1
36,125.73,4542.61,0,1,One year,Fiber,Yes,1
51,94.89,4812.56,1,2,One year,Fiber,Yes,0
33,94.28,3360.84,1,0,Month-to-month,Fiber,Yes,1
20,70.7,1473.44,2,1,One year,DSL,Yes,0
56,64.57,3500.71,0,1,Two year,Fiber,Yes,0
70,64.76,4379.97,0,1,One year,DSL,No,0
19,79.76,1555.32,2,1,Two year,Fiber,Yes,0
57,105.03,5947.0,2,1,One year,DSL,Yes,1
19,74.53,1549.27,4,2,Month-to-month,Fiber,Yes,1
52,47.21,2483.31,0,0,Two year,Fiber,Yes,0
57,90.61,4966.56,0,1,Month-to-month,DSL,Yes,0
33,93.03,2968.01,1,0,One year,None,Yes,0
54,86.37,4596.26,4,1,One year,DSL,Yes,0
20,88.64,1816.95,1,2,Two year,DSL,Yes,0
6,63.23,274.09,4,0,Two year,Fiber,Yes,0
7,46.78,342.71,3,0,Month-to-month,Fiber,No,1
33,48.3,1460.13,0,0,One year,DSL,No,0
65,29.11,1892.99,1,2,Month-to-month,DSL,Yes,0
10,75.92,796.24,3,0,One year,DSL,No,0
33,67.91,2387.31,1,1,One year,Fiber,Yes,1
51,59.0,3033.57,2,1,Month-to-month,Fiber,No,1
15,20.0,218.33,0,0,Two year,DSL,Yes,0
52,38.82,2167.79,0,2,Month-to-month,Fiber,Yes,1
23,98.02,2236.17,2,1,Month-to-month,None,Yes,1
59,53.38,3227.03,0,0,Two year,Fiber,Yes,0
42,79.01,3257.33,1,0,One year,DSL,No,0
40,35.23,1418.39,5,2,One year,Fiber,Yes,1
13,105.97,1297.45,0,1,Month-to-month,DSL,Yes,1
34,66.4,2289.8,0,0,Month-to-month,DSL,Yes,0
62,77.25,4869.95,1,0,Month-to-month,Fiber,Yes,1
2,128.14,206.81,3,0,Month-to-month,Fiber,No,1
55,107.91,5880.0,2,3,Month-to-month,DSL,No,1
36,62.34,2279.77,4,1,Month-to-month,Fiber,Yes,1
52,55.17,2786.31,2,0,One year,Fiber,No,1
48,61.86,2817.55,1,0,Month-to-month,Fiber,Yes,0
32,82.75,2683.24,0,2,One year,Fiber,Yes,0
23,67.37,1538.73,1,0,Two year,Fiber,Yes,0
46,60.12,2752.58,1,1,Month-to-month,None,Yes,0
11,106.68,1225.58,1,0,One year,DSL,Yes,1
43,67.14,2953.3,1,1,Month-to-month,Fiber,Yes,1
7,127.49,876.33,1,2,Month-to-month,DSL,No,1
47,72.27,3284.36,1,0,One year,Fiber,No,0
46,114.63,5209.26,3,1,Month-to-month,DSL,No,1
7,78.93,611.03,2,0,Month-to-month,Fiber,Yes,1
55,94.07,5187.71,3,0,Two year,Fiber,Yes,1
30,51.88,1501.57,1,0,Month-to-month,DSL,No,0
57,48.66,2694.95,1,1,One year,DSL,Yes,0
3,81.49,306.26,3,0,One year,DSL,Yes,1
13,94.71,1209.11,1,1,Month-to-month,Fiber,Yes,1
36,71.01,2631.5,2,1,One year,DSL,Yes,0
14,37.84,617.7,1,1,Month-to-month,Fiber,No,1
24,35.99,832.56,1,1,Month-to-month,Fiber,Yes,0
48,34.32,1742.4,1,1,Two year,None,Yes,0
11,25.81,297.74,1,2,Month-to-month,Fiber,No,1
49,72.74,3590.9,1,0,One year,DSL,Yes,1
8,98.13,566.13,0,0,Month-to-month,Fiber,Yes,1
13,69.66,808.55,1,2,Month-to-month,Fiber,Yes,1
43,20.0,768.33,0,0,One year,Fiber,No,0
58,65.23,3751.53,1,1,One year,Fiber,Yes,0
13,65.93,868.53,2,0,Month-to-month,DSL,Yes,1
22,122.4,2708.32,0,0,One year,Fiber,Yes,0
67,33.57,2277.87,1,1,Month-to-month,Fiber,No,0
72,60.23,4268.29,3,1,Month-to-month,DSL,Yes,1
42,112.65,4800.28,3,0,One year,DSL,Yes,0
33,81.25,2862.16,1,1,One year,DSL,Yes,0
25,84.08,2066.74,0,0,Month-to-month,Fiber,No,1
45,72.86,3212.54,3,0,One year,DSL,Yes,0
43,78.25,3296.16,1,2,Month-to-month,Fiber,Yes,0
22,89.44,1976.23,2,0,Two year,Fiber,Yes,1
2,49.76,46.95,4,1,Two year,DSL,Yes,1
11,91.95,838.43,1,1,Month-to-month,DSL,Yes,0
70,35.67,2351.57,1,0,Month-to-month,DSL,Yes,1
31,78.21,2526.5,2,1,Two year,Fiber,Yes,0
35,74.47,2734.58,2,0,Two year,Fiber,No,0
34,54.59,2016.14,0,1,Month-to-month,Fiber,Yes,1
57,69.43,3980.3,0,1,Month-to-month,Fiber,No,0
5,54.44,173.09,2,0,Month-to-month,None,Yes,1
6,43.21,215.44,2,1,Two year,DSL,No,0
20,61.16,1074.05,0,0,Two year,Fiber,Yes,0
36,42.4,1373.42,2,2,Two year,Fiber,Yes,0
49,78.07,3850.95,1,2,Month-to-month,Fiber,Yes,1
36,41.25,1538.82,4,1,Two year,DSL,Yes,0
32,87.8,3005.42,2,0,Month-to-month,DSL,No,0
68,40.46,2743.18,0,2,Month-to-month,Fiber,Yes,0
12,55.84,534.33,1,1,Month-to-month,Fiber,No,1
42,54.38,2271.97,3,0,Month-to-month,DSL,Yes,0
40,103.13,4096.9,1,2,One year,DSL,Yes,0
35,78.26,2689.88,2,2,Month-to-month,Fiber,No,0
59,64.71,3852.07,1,0,Month-to-month,Fiber,Yes,0
20,82.47,1527.91,2,0,Two year,Fiber,No,1
69,20.0,1393.07,0,0,Month-to-month,DSL,Yes,0
24,68.92,1719.28,1,2,Month-to-month,DSL,Yes,0
40,119.94,4939.49,0,1,Month-to-month,Fiber,No,1
38,73.31,2816.77,2,0,Month-to-month,Fiber,Yes,1
62,71.7,4549.58,2,1,Month-to-month,DSL,Yes,0
32,83.7,2634.11,0,1,One year,Fiber,Yes,0
21,92.39,1909.76,1,0,Month-to-month,Fiber,Yes,0
2,20.06,174.91,2,1,Month-to-month,Fiber,Yes,0
27,27.94,617.27,0,0,Two year,DSL,Yes,0
60,75.26,4475.12,3,1,Month-to-month,Fiber,Yes,0
1,52.13,164.97,3,3,One year,None,Yes,1
65,102.8,6660.93,2,1,Month-to-month,Fiber,Yes,0
40,62.12,2456.27,2,0,Two year,DSL,Yes,0
11,21.64,211.47,0,2,Month-to-month,DSL,Yes,0
22,38.3,854.31,2,1,One year,DSL,No,0
40,20.0,908.61,1,0,One year,None,No,0
23,64.15,1567.8,0,0,One year,None,Yes,1
8,65.29,523.47,2,1,Two year,DSL,Yes,0
48,59.39,2959.88,2,0,Month-to-month,None,Yes,0
49,96.97,4785.81,1,2,Month-to-month,DSL,Yes,0
9,99.96,985.58,0,2,Two year,Fiber,Yes,0
21,65.74,1277.71,1,0,Two year,Fiber,No,0
18,20.0,533.86,1,1,Month-to-month,Fiber,No,1
48,85.43,4122.76,3,2,One year,Fiber,Yes,1
53,83.88,4171.02,2,1,One year,Fiber,Yes,1
53,77.73,4285.9,1,1,One year,DSL,No,0
68,94.54,6429.02,0,1,Two year,None,No,0
56,40.88,2249.69,2,2,Two year,DSL,Yes,0
24,120.22,2824.68,2,0,Month-to-month,DSL,No,1
8,46.01,412.06,1,2,One year,None,Yes,0
45,88.73,3904.04,2,1,Month-to-month,Fiber,No,1
66,27.82,1778.19,1,0,Month-to-month,Fiber,Yes,0
71,46.74,3263.49,1,1,Two year,DSL,Yes,0
17,107.91,1805.23,6,0,One year,DSL,Yes,0
18,63.48,1091.07,3,1,Month-to-month,DSL,Yes,1
3,91.0,358.28,2,2,One year,Fiber,Yes,0
11,75.92,862.27,0,0,Month-to-month,Fiber,Yes,1
40,67.38,2734.35,2,0,Month-to-month,Fiber,No,0
40,104.1,4224.91,1,2,One year,Fiber,Yes,1
27,64.08,1720.95,5,0,One year,None,No,0
23,25.48,484.04,1,0,Month-to-month,DSL,Yes,0
60,49.92,3175.66,0,0,Month-to-month,None,No,1
34,83.78,2941.27,3,1,One year,Fiber,Yes,0
59,79.89,4874.66,1,1,Month-to-month,None,Yes,1
70,30.82,2261.1,1,0,Two year,Fiber,Yes,0
23,51.89,1147.47,2,1,Month-to-month,DSL,No,0
15,55.46,597.06,0,1,Two year,DSL,Yes,0
69,60.86,4076.66,3,1,Month-to-month,None,Yes,1
46,35.6,1701.35,2,2,Month-to-month,Fiber,No,1
21,54.29,1129.93,0,1,Month-to-month,Fiber,Yes,0
45,51.78,2288.33,1,0,One year,Fiber,Yes,0
38,89.29,3143.4,1,1,Two year,DSL,Yes,0
66,90.23,5953.74,1,3,Month-to-month,Fiber,No,0
19,66.35,1152.56,0,1,Month-to-month,None,No,0
72,60.2,4261.89,2,0,Month-to-month,DSL,No,0
68,73.5,5082.88,0,0,One year,Fiber,Yes,0
14,49.59,591.28,0,3,Month-to-month,None,Yes,1
12,41.33,402.58,0,0,Two year,DSL,No,0
39,46.49,1831.84,1,1,Month-to-month,DSL,Yes,1
4,54.13,303.75,3,1,One year,Fiber,Yes,0
22,40.91,859.82,1,0,Two year,Fiber,No,0
32,74.05,2516.37,2,3,Month-to-month,Fiber,Yes,0
70,88.24,6049.14,0,0,Month-to-month,DSL,Yes,1
72,30.32,2037.82,3,2,Two year,DSL,No,0
11,70.63,622.98,1,1,Month-to-month,Fiber,Yes,1
65,64.5,4027.39,3,0,One year,DSL,No,1
7,78.54,583.42,2,2,Two year,DSL,Yes,0
54,69.68,3664.75,2,0,Month-to-month,Fiber,Yes,0
61,33.66,1912.24,0,2,Two year,DSL,No,0
65,38.44,2536.6,1,0,Month-to-month,Fiber,No,0
17,70.74,1284.9,1,3,One year,None,No,1
65,95.72,6326.85,0,3,Month-to-month,Fiber,Yes,0
9,20.0,267.53,0,1,Month-to-month,Fiber,Yes,0
38,78.64,2896.63,0,1,Month-to-month,DSL,Yes,1
34,99.74,3418.79,0,0,Month-to-month,Fiber,Yes,0
23,66.17,1571.7,2,0,Month-to-month,Fiber,No,1
2,83.76,120.02,3,1,Month-to-month,DSL,No,1
56,52.42,2952.18,1,1,One year,Fiber,Yes,0
25,67.02,1550.23,3,0,Month-to-month,DSL,No,0
48,29.48,1352.14,3,0,Month-to-month,DSL,Yes,0
30,20.0,637.18,1,2,Month-to-month,Fiber,No,1
27,93.57,2677.12,3,1,Month-to-month,Fiber,Yes,1
64,45.38,3019.15,1,3,Month-to-month,DSL,No,0
7,58.61,476.37,0,1,Month-to-month,DSL,No,0
54,35.34,1916.27,1,0,One year,DSL,Yes,0
54,34.75,1869.02,1,0,One year,Fiber,No,0
28,65.65,1693.55,2,0,One year,Fiber,Yes,1
19,51.76,899.9,3,0,Month-to-month,DSL,No,1
1,79.45,0.0,1,1,Two year,Fiber,Yes,0
68,81.31,5586.79,1,2,One year,None,Yes,0
69,78.02,5477.96,2,1,One year,Fiber,No,1
18,75.97,1441.03,1,0,Month-to-month,Fiber,No,1
3,109.44,446.6,2,0,Month-to-month,Fiber,No,1
9,43.31,397.02,2,1,Month-to-month,Fiber,Yes,1
5,68.63,244.84,2,3,Month-to-month,None,Yes,1
60,98.32,5894.04,3,2,One year,DSL,Yes,0
65,101.61,6532.39,0,2,Month-to-month,DSL,No,0
12,34.46,479.26,1,0,Month-to-month,DSL,No,0
54,62.19,3322.41,1,0,Month-to-month,Fiber,No,0
13,103.95,1341.54,1,1,Month-to-month,DSL,Yes,1
27,82.7,2302.32,0,1,Month-to-month,None,No,1
44,74.88,3220.68,3,3,Month-to-month,DSL,Yes,1
52,64.56,3453.41,0,0,Month-to-month,Fiber,No,0
63,60.4,3670.75,1,1,Month-to-month,DSL,Yes,0
4,77.21,339.48,3,2,One year,Fiber,Yes,1
15,63.69,946.27,1,1,Two year,Fiber,Yes,0
21,68.94,1530.38,3,1,Two year,Fiber,No,0
23,71.96,1517.76,1,1,One year,Fiber,Yes,0
72,53.05,3666.39,1,1,Month-to-month,Fiber,Yes,0
56,83.3,4739.99,1,1,One year,Fiber,No,0
24,130.0,3080.91,2,0,Two year,None,No,0
70,25.58,1781.19,0,1,Month-to-month,Fiber,Yes,1
36,78.1,2745.64,1,0,Month-to-month,Fiber,Yes,0
37,51.0,1978.11,0,0,One year,Fiber,Yes,0
32,84.44,2731.84,1,0,Month-to-month,None,Yes,1
11,71.16,806.87,1,3,One year,Fiber,Yes,1
68,89.05,5938.19,3,2,Month-to-month,None,Yes,1
2,99.39,248.93,3,0,Month-to-month,Fiber,Yes,0
13,74.81,873.32,0,2,One year,DSL,Yes,0
17,98.3,1605.27,2,1,One year,DSL,Yes,0
21,20.0,283.47,2,0,One year,Fiber,Yes,1
10,109.76,1081.96,0,1,Two year,Fiber,Yes,1
2,79.38,265.2,0,2,Two year,Fiber,Yes,0
49,96.95,4773.03,3,2,Month-to-month,None,Yes,1
70,39.5,2721.04,0,1,Two year,Fiber,Yes,0
9,49.23,453.99,0,0,Month-to-month,DSL,No,1
22,73.65,1630.63,3,0,Month-to-month,Fiber,No,1
37,69.57,2580.85,2,0,Two year,DSL,Yes,0
67,77.08,5181.87,2,0,Month-to-month,Fiber,No,0
50,97.11,4751.64,2,1,Two year,None,No,0
56,25.87,1459.35,1,1,Month-to-month,DSL,No,0
42,94.35,3786.99,2,1,Month-to-month,Fiber,Yes,1
31,70.21,2233.98,1,2,Month-to-month,Fiber,Yes,1
15,64.91,863.31,2,1,One year,DSL,Yes,0
63,33.22,2210.75,0,2,Two year,Fiber,Yes,0
58,82.58,4544.9,3,0,Month-to-month,Fiber,Yes,0
2,20.0,207.44,1,0,Month-to-month,Fiber,No,0
52,86.21,4318.99,2,2,Month-to-month,DSL,Yes,1
7,32.7,108.89,0,0,Month-to-month,DSL,Yes,1
54,71.34,3882.07,0,0,One year,Fiber,No,0
60,67.02,4083.12,0,1,One year,DSL,Yes,0
10,99.24,964.05,0,0,Month-to-month,DSL,Yes,1
32,65.53,2186.34,2,1,Month-to-month,None,No,0
9,52.65,394.16,1,1,One year,Fiber,Yes,0
41,57.33,2310.76,1,1,Month-to-month,Fiber,Yes,1
67,101.82,6791.87,1,0,Month-to-month,None,Yes,0
6,83.41,446.6,1,0,One year,DSL,Yes,0
29,60.36,1557.0,2,3,Month-to-month,DSL,No,1
71,64.09,4547.84,0,0,Month-to-month,Fiber,Yes,0
22,30.82,666.55,3,0,Month-to-month,Fiber,No,0
10,79.71,904.94,1,2,One year,DSL,Yes,0
36,26.0,807.57,2,1,Month-to-month,Fiber,No,1
37,88.79,3221.47,1,1,Two year,DSL,Yes,0
48,73.22,3634.7,1,0,Month-to-month,Fiber,No,0
23,129.67,3011.83,2,2,Month-to-month,Fiber,Yes,1
69,42.5,2987.2,1,0,One year,Fiber,No,0
38,67.43,2607.81,2,1,Month-to-month,DSL,No,0
21,114.96,2459.89,0,1,Month-to-month,DSL,Yes,1
70,99.78,7167.04,2,0,Month-to-month,Fiber,Yes,1
67,52.59,3533.0,0,0,One year,None,Yes,0
36,75.6,2620.44,2,0,Month-to-month,Fiber,Yes,1
2,70.05,203.98,2,1,Two year,DSL,Yes,0
43,77.05,3256.45,3,1,Month-to-month,Fiber,Yes,0
40,52.53,2090.33,1,1,Month-to-month,DSL,No,0
11,67.77,782.45,1,0,Month-to-month,DSL,No,0
46,30.05,1300.1,1,2,Month-to-month,DSL,Yes,0
61,73.38,4425.03,3,0,Two year,DSL,Yes,0
8,81.25,697.59,1,1,Month-to-month,DSL,Yes,1
53,64.31,3353.8,4,0,Two year,DSL,No,0
11,29.62,423.2,1,0,Month-to-month,Fiber,No,1
54,94.71,5015.9,0,0,Month-to-month,Fiber,Yes,0
31,79.11,2353.55,1,1,Month-to-month,Fiber,Yes,0
1,51.85,242.46,3,1,One year,DSL,Yes,0
70,62.98,4255.93,3,0,Month-to-month,Fiber,Yes,1
12,32.48,387.13,0,1,One year,DSL,No,0
43,44.36,2092.83,2,0,Two year,DSL,No,0
14,56.55,788.91,1,1,One year,Fiber,Yes,0
